study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_platform	library_source	fastq_ftp	submitted_ftp	sample_alias	first_created
PRJEB12982	SAMEA3892037	ERS1079171	ERX1512968	ERR1442591	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442591/ERR1442591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442591/ERR1442591_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442591/19850_1#31.cram	72689240-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892038	ERS1079172	ERX1512969	ERR1442592	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442592/ERR1442592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442592/ERR1442592_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442592/19850_1#32.cram	72747920-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892040	ERS1079174	ERX1512970	ERR1442593	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442593/ERR1442593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442593/ERR1442593_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442593/19850_1#33.cram	728038f0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892041	ERS1079175	ERX1512971	ERR1442594	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442594/ERR1442594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442594/ERR1442594_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442594/19850_1#34.cram	728bf8c0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892042	ERS1079176	ERX1512972	ERR1442595	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442595/ERR1442595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442595/ERR1442595_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442595/19850_1#35.cram	729806b0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892044	ERS1079178	ERX1512973	ERR1442596	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442596/ERR1442596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442596/ERR1442596_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442596/19850_1#36.cram	72a3ed90-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892045	ERS1079179	ERX1512974	ERR1442597	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442597/ERR1442597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442597/ERR1442597_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442597/19850_1#37.cram	72afad60-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892046	ERS1079180	ERX1512975	ERR1442598	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442598/ERR1442598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442598/ERR1442598_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442598/19850_1#38.cram	72bb6d30-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892047	ERS1079181	ERX1512976	ERR1442599	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442599/ERR1442599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442599/ERR1442599_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442599/19850_1#39.cram	72c72d00-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892049	ERS1079183	ERX1512977	ERR1442600	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442600/ERR1442600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442600/ERR1442600_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442600/19850_1#40.cram	72d313e0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892050	ERS1079184	ERX1512978	ERR1442601	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442601/ERR1442601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442601/ERR1442601_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442601/19850_1#41.cram	72ded3b0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892051	ERS1079185	ERX1512979	ERR1442602	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442602/ERR1442602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442602/ERR1442602_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442602/19850_1#42.cram	72ea9380-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892052	ERS1079186	ERX1512980	ERR1442603	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442603/ERR1442603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442603/ERR1442603_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442603/19850_1#43.cram	72f65350-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892054	ERS1079188	ERX1512981	ERR1442604	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442604/ERR1442604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442604/ERR1442604_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442604/19850_1#44.cram	73026140-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892055	ERS1079189	ERX1512982	ERR1442605	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442605/ERR1442605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442605/ERR1442605_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442605/19850_1#45.cram	730e6f30-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892056	ERS1079190	ERX1512983	ERR1442606	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442606/ERR1442606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442606/ERR1442606_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442606/19850_1#46.cram	731a2f00-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892057	ERS1079191	ERX1512984	ERR1442607	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442607/ERR1442607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442607/ERR1442607_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442607/19850_1#47.cram	73263cf0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892058	ERS1079192	ERX1512985	ERR1442608	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442608/ERR1442608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442608/ERR1442608_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442608/19850_1#48.cram	733223d0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892060	ERS1079194	ERX1512986	ERR1442609	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442609/ERR1442609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442609/ERR1442609_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442609/19850_1#49.cram	733de3a0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892061	ERS1079195	ERX1512987	ERR1442610	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442610/ERR1442610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442610/ERR1442610_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442610/19850_1#50.cram	7349a370-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892063	ERS1079197	ERX1512988	ERR1442611	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442611/ERR1442611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442611/ERR1442611_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442611/19850_1#51.cram	73556340-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892064	ERS1079198	ERX1512989	ERR1442612	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442612/ERR1442612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442612/ERR1442612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442612/19850_1#52.cram	73612310-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892065	ERS1079199	ERX1512990	ERR1442613	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442613/ERR1442613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442613/ERR1442613_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442613/19850_1#53.cram	736ce2e0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
